AREA,PERIMETER,NCIDAD_,NCIDAD_ID,NOME
253469.600000,2036.633000,118,108,Vista Alegre
485883.200000,3017.280000,119,109,Descoberto
108396.700000,1295.595000,120,110,Ribeiro Junqueira
1089100.000000,4481.812000,121,111,Rio Novo
204929.800000,1634.947000,122,112,Itapiruçu
107937.800000,1210.259000,123,113,São João da Serra
267405.300000,2755.534000,124,114,Monte Alegre
460254.400000,3412.761000,125,115,Piacatuba
129297.300000,1512.765000,126,116,Angaturama
190059.700000,2804.850000,127,117,Monte Verde
452799.200000,5892.278000,128,118,Piau
97268.470000,1429.970000,129,119,São Joaquim
79860.810000,1047.781000,130,120,Paraoquena
39779.060000,817.831600,131,121,Cardoso Moreira
731815.100000,6440.585000,132,122,Cardoso Moreira
147354.300000,1766.046000,133,636,Dores do Paraibuna
399898.100000,2358.346000,134,123,Ibitiguaçu
3693181.000000,13050.070000,135,124,Leopoldina
367148.200000,5890.707000,136,233,Conselheiro Josino
215258.000000,2132.488000,137,401,Paraíso Garcia
3044943.000000,9167.153000,138,125,São João Nepomuceno
438523.300000,4477.293000,139,126,Recreio
383610.700000,2431.453000,140,127,Goianá
3266174.000000,14130.410000,141,128,Santo Antônio de Pádua
237498.900000,2907.321000,142,402,Ewbank da Câmara
211004.800000,1981.262000,143,129,Ituí
367097.600000,3627.699000,144,130,Caiçara
523337.200000,2783.215000,145,131,Conceição da Boa Vista
373843.200000,2740.225000,146,403,Santa Rita do Ibitipoca
211026.800000,1838.144000,147,132,Santa Cruz
155426.400000,1616.641000,148,133,Roça Grande
458657.200000,3986.954000,149,134,Tebas
120348.900000,1716.218000,150,135,Coronel Pacheco
1417250.000000,7253.423000,151,136,Cambuci
65890.280000,1319.714000,152,137,Coronel Pacheco
380819.700000,2373.391000,153,138,Baltazar
111807.400000,1385.275000,154,139,Abaíba
93241.610000,1170.108000,155,404,Bias Fortes
163512.400000,1468.109000,156,140,Marangatu
145221.500000,1624.171000,157,405,Campolide
161578.700000,1573.960000,158,141,Taruaçu
68698.270000,1180.643000,159,142,Carlos Alves
1474127.000000,5964.771000,160,143,Pureza
308862.400000,2329.343000,161,144,Argirita
250592.600000,2883.736000,162,145,Rochedo de Minas
1577519.000000,5792.080000,163,146,Portela
